input_id	dealiased_id	standard_id	short_id
https://www.wikidata.org/wiki/Wikidata:Main_Page	https://www.wikidata.org/wiki/Wikidata:Main_Page	url:https://www.wikidata.org/wiki/Wikidata:Main_Page	16U7iJVoe
https://www.w3.org/standards/semanticweb	https://www.w3.org/standards/semanticweb	url:https://www.w3.org/standards/semanticweb	135LkaoBw
doi:10.1101/031971	doi:10.1101/031971	doi:10.1101/031971	lmhCFXiz
doi:10.7554/eLife.52614	doi:10.7554/eLife.52614	doi:10.7554/elife.52614	HUodcdz1
doi:10.1016/j.jbi.2019.103292	doi:10.1016/j.jbi.2019.103292	doi:10.1016/j.jbi.2019.103292	11iU76eUa
pmid:27377652	pmid:27377652	pubmed:27377652	Z3nPSmXs
https://panglaodb.se/index.html	https://panglaodb.se/index.html	url:https://panglaodb.se/index.html	M0lqRYJb
doi:10.1093/database/baz046	doi:10.1093/database/baz046	doi:10.1093/database/baz046	T3PlZ3Vh
https://query.wikidata.org	https://query.wikidata.org	url:https://query.wikidata.org	2wDsXBwd
https://pypi.org/project/wikidataintegrator	https://pypi.org/project/wikidataintegrator	url:https://pypi.org/project/wikidataintegrator	jE5KdOb1
https://pypi.org/project/wikidata2df	https://pypi.org/project/wikidata2df	url:https://pypi.org/project/wikidata2df	VKWfrtR1
doi:10.5281/zenodo.3630805	doi:10.5281/zenodo.3630805	doi:10.5281/zenodo.3630805	Se3rrKFw
doi:10.5281/zenodo.3767070	doi:10.5281/zenodo.3767070	doi:10.5281/zenodo.3767070	XhmJ6Ik9
doi:10.1109/MCSE.2007.53	doi:10.1109/MCSE.2007.53	doi:10.1109/mcse.2007.53	Uw8O81dr
https://pypi.org/project/reconciler	https://pypi.org/project/reconciler	url:https://pypi.org/project/reconciler	tiAR9KSt
https://openrefine.org	https://openrefine.org	url:https://openrefine.org	jfPf8lxr
https://www.mediawiki.org/wiki/API:REST_API	https://www.mediawiki.org/wiki/API:REST_API	url:https://www.mediawiki.org/wiki/API:REST_API	adfLgClN
doi:10.1093/nar/gkz966	doi:10.1093/nar/gkz966	doi:10.1093/nar/gkz966	oDiClyTE
doi:10.1093/nar/gks1189	doi:10.1093/nar/gks1189	doi:10.1093/nar/gks1189	d5Tp72yA
pmid:22293552	pmid:22293552	pubmed:22293552	ZimCwChP
isbn:9780596516499	isbn:9780596516499	isbn:9780596516499	HvkiunUe
http://med2rdf.org	http://med2rdf.org	url:http://med2rdf.org	1F3C6U9Lh
doi:10.1186/gb-2005-6-2-r21	doi:10.1186/gb-2005-6-2-r21	doi:10.1186/gb-2005-6-2-r21	1CCBSogYG
